"CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","LSTAT","MEDV"
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,18.9
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,8.47,19.9
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58,23.1
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,13.83,19.6
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,9.68,18.9
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,4.84,26.6
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,9.55,21.2
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,25
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,9.22,19.6
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,17.4
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,8.79,20.9
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,20
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,28
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,6.72,24.8
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57,43.8
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,33.2
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3
0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,12.6,19.2
0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,11.12,23
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82,13.4
1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,12.12,15.3
2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,15.12,17
1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50
1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,1.92,50
2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,11.1,23.8
2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,13.15,29.6
0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,6.62,34.6
0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,10.97,24.4
0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,18.06,22.5
0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7
0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,9.47,25
0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,9.69,28.7
0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7
0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,7.6,30.1
0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,8.05,29
0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54,25.1
0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,12.4,20.1
0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,3.11,44
0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,7.26,43.1
0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1,36.5
0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,7.44,50
0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16,43.5
0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59,35.4
0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22
0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1
0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6,22.3
0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53,28.2
0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1
0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,11.74,18.5
0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25
0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23
0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5
0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19
0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,4.61,31.2
0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,5.98,22.9
0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,5.49,24.1
0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,7.79,18.6
0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17,4.5,30.1
0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,5.57,20.6
4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19,19.9
3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5
3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14,21.9
4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26,50
15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24,13.9
24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28,10.5
5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17,13.8
13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59,5
9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32,7.2
45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98,7
25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,26.64,10.4
12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,14.1,20.8
12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,15.69,10.2
9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5
10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4
9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4
4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01,12.7
15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68,16.7
15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91,12
14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11,21.4
5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,21.14,19.7
0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,12.92,21.2
0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,5.64,23.9
0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,6.48,22
